Macro Processus;Processus;Sous Processus;Entité;Sous-Entité;Activité;Risque;Cause;Description du plan d'action;Porteur;adresse mail du porteur;Date de début du plan d'action;Date de fin du plan d'action ;Avancement du plan d'action;Statut du plan d'action ; DESCRIPTION DU CONTRÔLE;Type de contrôle;Méthode de contrôle;Proba;Gravité;Financier;RH;Image;Juridique;Client;Criticité;maturité CI;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Manager l'audit;Manager l'audit;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Audit & Contrôles Généraux(DAC);Conduire une mission d'enquête;Risque d'inefficacité des missions d'enquête;Non détermination des responsabilités au terme d'une mission d'enquête;;;;;;;;Bench au niveau Sonatel ;Detectif;Manuelle;1;2;2;2;;2;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Manager l'audit;Manager l'audit;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Audit & Contrôles Généraux(DAC);Conduire une mission d' audit ou de CG;Risque d'audit (non contrôle, non détection);Non détection des cas de fraude et perte de revenu;;;;;;;;"- Approche orientée fraude et RA lors de l'élaboration des plans d'approche et programmes de travail
- Réalisation des travaux de contrôle généraux  sur la base de données exhaustives
- Revue et validation des rapports par le Chef de Division ACG et DAMRQ
";Preventif;Manuelle;1;2;3;2;1;1;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Manager l'audit;Manager l'audit;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Audit & Contrôles Généraux(DAC);Conduire une mission d'enquête;Risque d'inefficacité des missions d'enquête;Manque de professionnalisme des auditeurs ;;;;;;;;"Diffusion de la charte de l'audit
Charte de déontologie de l'enquêteur signée par tous les auditeurs";Preventif;Manuelle;1;2;2;2;;2;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Manager l'audit;Manager l'audit;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Audit & Contrôles Généraux(DAC);Conduire une mission d'enquête;Risque d'inefficacité des missions d'enquête;Communication du nom des auteurs des saisines ou alertes aux personnes mises en cause;;;;;;;;"La sauvegarde de l'anonymat des auteurs de saisine est garantie par les dispositions de l'obligation d'alerte 
Code de déontologie de l'enquêteur signée par tous les auditeurs";Preventif;Manuelle;1;2;2;2;;2;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Manager l'audit;Manager l'audit;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Audit & Contrôles Généraux(DAC);Conduire une mission d'enquête;Risque de divulgation d’information confidentielle ;Communication de données personnelles à des tiers;;;;;;;;Code de déontologie de l'enqêteur signée par tous les auditeurs;Preventif;Manuelle;1;2;1;3;2;;1;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Manager l'audit;Manager l'audit;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Audit & Contrôles Généraux(DAC);Conduire une mission d'enquête;Risque de divulgation d’information confidentielle ;Insuffisance dans la sensibilisation des personnes ressources sur la confidentialité des missions d'enquêtes;;;;;;;;" - les Rapports produits lors des missions d'enquêtes  sont marqués ""confidentiel""
Code de déontologie de l'enquêteur signée par tous les auditeurs";Preventif;Manuelle;1;2;1;3;2;;1;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Manager l'audit;Manager l'audit;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Audit & Contrôles Généraux(DAC);Conduire une mission d' audit ou de CG;Risque d'audit (non contrôle, non détection);Retard dans la production des livrables;;;;;;;;"- Pilotage hebdomadaire des activités
- Coaching 
- Accompagnement des equipes ACG  sur toutes les missions
 place un indicateur de suivi des délais de réalisation des missions dans le tableau de bord ACG (Exemple indicateur : nombre de missions réalisées dans les délais fixés pour une mission d'audit";Preventif;Manuelle;1;2;3;2;1;1;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Déployer les normes et piloter l’amélioration continue;Déployer les normes et piloter l’amélioration continue;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Management Integré(DMI);Elaborer le reporting enquête;Risque de non fiabilité de l'information pour le pilotage;Retard dans la collecte et la transmission des données d'enquêtes au groupe;;;;;;;;" -Collecte et Remontée des données conformement au delai fixé par la SONATEl
-Escalade au niverau de N+1 pour tout retard dans la collecte et la remontée .";Preventif;Manuelle;1;2;1;1;2;;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Risques Contrôle Interne Fraude Revenue Assurance(DFRARCI);Piloter la mise en place des mécanismes de détection et de lutte contre la fraude;Risque de fraude ;Non appropriation de la lutte anti fraude par le personnel;;;;;;;;" -Adaptation de la politique de lutte contre la fraude du group en local
 - Réalisation de Séances de Sensibilisation sur la fraude pour tout le personnel OGN.
 - Mise en place d'un dispositif d'alerte pour les suspissions de fraude
-Participation à la semaine internationale de lutte contre la fraude IFAW.";Preventif;Manuelle;1;2;3;;2;;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Risques Contrôle Interne Fraude Revenue Assurance(DFRARCI);Piloter la mise en place des mécanismes de détection et de lutte contre la fraude;Risque de fraude ;Non respect de la procédure d'identification client (absence de contrôle à l'entrée);;;;;;;;"
Existence d'une procédure d'identification du client : 
Existence d'un contrôle à J+ 1 sur l'exhaustivité de l'identification des ventes de sims de la veille.
-Effectuer un contrôle periodique sur un echantillon de dossiers physiques d'une extraction de client pour s'assurer de leur existence physique .
Activation du numero dans le système lié au renseignement complet des champs dans simplissimo.


";Preventif;Manuelle;1;2;3;;2;;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Risques Contrôle Interne Fraude Revenue Assurance(DFRARCI);Piloter la mise en place des mécanismes de détection et de lutte contre la fraude;Risque de fraude ;Appels non facturés et Long délai de réception des HUR;;;;;;;;Suivi quotidien des HURs en local et en Roaming.;Detectif;Manuelle;1;2;3;;2;;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Risques Contrôle Interne Fraude Revenue Assurance(DFRARCI);Piloter la mise en place des mécanismes de détection et de lutte contre la fraude;Risque de fraude ;Non respect de l'obligation d'alerte ( politique de lutte contre la fraude ;;;;;;;;"
Sensibilisation des employés sur la politique de lutte contre la fraude  et sur l'obligation d'alerte 
";Preventif;Manuelle;2;2;3;;2;;2;;2;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Risques Contrôle Interne Fraude Revenue Assurance(DFRARCI);Piloter la mise en place des mécanismes de détection et de lutte contre la fraude;Risque d'audit (non contrôle, non détection);Absence d'indicateurs de mesure de la performance de l'activité FRA;;;;;;;;" - Existence d'un tdb mensuel FRA
 - Reporting quotidien des activités de contrôles clés  fraude et RA
-  Existence des ODG pour les activités FRA
-  Existence d'un reporting group mensuel des activités FRA ";Preventif;Manuelle;1;2;3;;2;;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Risques Contrôle Interne Fraude Revenue Assurance(DFRARCI);Piloter la démarche revenue assurance ;Risque de non fiabilité de la facturation;Non identification des risques RA;;;;;;;;" -  Existence de Cartographie des flux de revenus : 
 - Analys des risques FRA  avant lancement des projet TTM/ITTM (mkg, technique etc..)";Preventif;Manuelle;1;2;2;;2;;;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Risques Contrôle Interne Fraude Revenue Assurance(DFRARCI);Piloter la démarche revenue assurance ;Risque d'audit (non contrôle, non détection);Insuffisances dans le suivi de la performance;;;;;;;;" - Pilotage et reporting mensuel des contrôles FRA 
 - Mise en place d'un Copil FRA pour Orange Guinée 
 - Reporting quotidien FRA";Preventif;Manuelle;1;2;2;;2;;;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Risques Contrôle Interne Fraude Revenue Assurance(DFRARCI);Piloter la démarche revenue assurance ;Risque de non fiabilité de la facturation;Contrôles RA inadaptés;;;;;;;;" - La cartographie et les contrôles RA ont été validés avec les acteurs concernés
 -deploiement du plan OPERA  ( opération RA  du groupe)
bench dans le groupe Sonatel et support GFRA ";Preventif;Manuelle;1;2;2;;2;;;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Risques Contrôle Interne Fraude Revenue Assurance(DFRARCI);Assurer le support à la maîtrise des risques et le pilotage du CI;Risque de non maîtrise des risques;Déploiement d'une démarche de maîtrise des risques inadaptée;;;;;;;;" - Harmonisation de la démarche groupe de management des risques 
 - Mise à jour de la Cartographie des risques réalisée par DAMRQ avec l'assistance de la SONATEL . 
";Preventif;Manuelle;1;2;2;2;2;1;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Risques Contrôle Interne Fraude Revenue Assurance(DFRARCI);Assurer le support à la maîtrise des risques et le pilotage du CI;Risque de non maîtrise des risques;Indisponibilité des compétences pour identifier les risques ITN;;;;;;;;"Existence de comptence ITN dans l'effectif RCI
Coaching des collaborateurs RCI pour les activités ITN.";Preventif;Manuelle;1;2;2;2;2;1;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Risques Contrôle Interne Fraude Revenue Assurance(DFRARCI);Assurer le support à la maîtrise des risques et le pilotage du CI;Risque de non maîtrise des risques;Non exhaustivité des risques identifiés ( projets et metier SSTE );;;;;;;;"exploitation des FIP des procédures , notes d'organisation  et des fiches poste 
Réalisation d'entretiens avec les chefs de projets et les responsable de processus 
visite de site de site pour les risques SSTE 
Validation des carto par les propriétaires des risques ( carto metiers et projets)
Validation des risques SSTE par la medceine d'entreprise et DMI 
prise en compte des recommandations d'audit";Preventif;Manuelle;1;2;2;2;2;1;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Risques Contrôle Interne Fraude Revenue Assurance(DFRARCI);Assurer le support à la maîtrise des risques et le pilotage du CI;Risque de non maîtrise des risques;Mauvaise identification des interlocuteurs clés;;;;;;;;Identification des risques et des dispositifs de contrôles avec les propriétaires de processus et les responsables opérationnels de processus et validation avec les Directeurs;Preventif;Manuelle;1;2;2;2;2;1;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Risques Contrôle Interne Fraude Revenue Assurance(DFRARCI);Assurer le support à la maîtrise des risques et le pilotage du CI;Risque de non maîtrise des risques;Mauvaise qualité des évaluations;;;;;;;;" - Harmonisation de la démarche groupe de management des risques
 - Existence d'une grille d'évaluation Groupe
 - Evaluation par les propriétaires de risques avec le support de RCI";Preventif;Manuelle;1;2;2;2;2;1;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Risques Contrôle Interne Fraude Revenue Assurance(DFRARCI);Assurer le support à la maîtrise des risques et le pilotage du CI;Risque de non maîtrise des risques;inefficacité des dispositifs de traitement  risques;;;;;;;;"Elaboration du programme d'audit et de contrôles généraux à partir de la cartographie des risques et test les dispositifs de traitement 
Evaluation de l'efficacité lors de la mise à jour de la carto.
Pilotage des   kits de contrôles 
";Preventif;Manuelle;1;2;2;2;2;1;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Risques Contrôle Interne Fraude Revenue Assurance(DFRARCI);Assurer le support à la maîtrise des risques et le pilotage du CI;Risque de non maîtrise des risques;Insuffisance de compétence des risks managers;;;;;;;;"- Support RCI groupe
- Formation groupe sur les risques et le contrôle interne
 Programme de formation en risk management conformement au plan de formation RH.";Preventif;Manuelle;1;2;2;2;2;1;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Risques Contrôle Interne Fraude Revenue Assurance(DFRARCI);Assurer le support à la maîtrise des risques et le pilotage du CI;Risque de non maîtrise des risques;Absence de dispositif de pilotage adéquat des risques ;;;;;;;;Harmonisation de la démarche groupe de management des risques;Preventif;Manuelle;1;2;2;2;2;1;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Déployer les normes et piloter l’amélioration continue;Déployer les normes et piloter l’amélioration continue;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Management Integré(DMI);Elaborer et déployer la politique QSE ;Risque de non-conformité du système QSE;Non prise en compte d'une exigence  normatives et réglementaire dans notre système QSE ;;;;;;;; Audit QSE   interne ou audit  à blanc effectué par des cabinets.;Detectif;Manuelle;1;3;2;;3;3;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Déployer les normes et piloter l’amélioration continue;Déployer les normes et piloter l’amélioration continue;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Management Integré(DMI);Elaborer et déployer la politique QSE ;Risque de non-conformité du système QSE;Connaissance insuffisante de la stratégie de l'entreprise;;;;;;;;" Pertinence des objectifs: prise en compte de critères: orientations de la DG
- Réception des ODG 
- Contribution au déploiement des ODG 
 - la DMI participe  aux comités de coordinations présentés par DG
- communication sur les principaux axes strategique de l'entreprise 
";Preventif;Manuelle;1;3;2;;3;3;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Déployer les normes et piloter l’amélioration continue;Déployer les normes et piloter l’amélioration continue;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Management Integré(DMI);Elaborer et déployer la politique QSE ;Risque de non-conformité du système QSE;Connaissance insuffisante des besoins et attentes des parties interessées;;;;;;;;" - Prise en compte des ODG dans l'élaboration du plan SMI
- Dispositifs d'écoute clients : baromètre, rapport d'écoute réclamations, remontées spontanées, …)
 - Veille normative et réglementaire
La revue periodique  des PI  ainsi que leurs  besoins et attentes";Preventif;Manuelle;1;3;2;;3;3;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Déployer les normes et piloter l’amélioration continue;Déployer les normes et piloter l’amélioration continue;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Management Integré(DMI);Elaborer et déployer la politique QSE ;Risque de non-conformité du système QSE;Non prise en compte d'une évolution réglementaire ou normative ;;;;;;;;" Existence d'une Veille normative pilotée par la DMI 
et d'une veille  réglementaire pilotée par la DRJ  

";Preventif;Manuelle;1;3;2;;3;3;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Déployer les normes et piloter l’amélioration continue;Déployer les normes et piloter l’amélioration continue;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Management Integré(DMI);Produire les rapports : d'écoute, analyse des récla, Tdb , enquête sondage, pilotage des baromètres;Risque de non fiabilité de l'information pour le pilotage;Non fiabilité des données en entrées;;;;;;;;"Plusieurs niveaux de validation des données reçues (N+1 jusqu'au Directeur)
validation  second niveau côté DMI 
";Detectif;Manuelle;1;2;1;2;1;;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Déployer les normes et piloter l’amélioration continue;Déployer les normes et piloter l’amélioration continue;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Management Integré(DMI);Produire les rapports : d'écoute, analyse des récla, Tdb , enquête sondage, pilotage des baromètres;Risque de non fiabilité de l'information pour le pilotage;Non fiabilité des données en entrées;;;;;;;;"Revue des indicateurs et modification si nécessaire (+ explication des modifications) lors des revues de processus et de direction.
Mise en place d'un dictionnaire des indicateurs";Detectif;Manuelle;1;2;1;2;1;;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Déployer les normes et piloter l’amélioration continue;Déployer les normes et piloter l’amélioration continue;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Management Integré(DMI);Produire les rapports : d'écoute, analyse des récla, Tdb , enquête sondage, pilotage des baromètres;Risque de non fiabilité de l'information pour le pilotage;Modification de la loi de composition des indicateurs ;;;;;;;;"Mise en place et mise à jour  d'un dictionnaire des indicateurs
Revue des indicateurs et modification si nécessaire (+ explication des modifications) lors des revues de processus et de direction.
";Detectif;Manuelle;1;2;1;2;1;;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Déployer les normes et piloter l’amélioration continue;Déployer les normes et piloter l’amélioration continue;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Management Integré(DMI);Produire les rapports : d'écoute, analyse des récla, Tdb , enquête sondage, pilotage des baromètres;Risque de non fiabilité de l'information pour le pilotage;Non pertinence   des indicateurs ;;;;;;;;"Validation des indicateurs par les propriétaires en concert avec la DMI .
Prise en compte de la pertinence lors de la mise à jour des FIP 
Revues de processus et revues de direction permettant  de remettre à niveau les indicateurs. Planning des revues disponible. 
Suivi mensuel de la tendence des indicateurs par le CG .";Preventif;Manuelle;2;2;1;1;1;;1;;2;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Déployer les normes et piloter l’amélioration continue;Déployer les normes et piloter l’amélioration continue;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Management Integré(DMI);Produire les rapports : d'écoute, analyse des récla, Tdb , enquête sondage, pilotage des baromètres;Risque de non fiabilité de l'information pour le pilotage;Non prise en compte (ou prise en compte insuffisante) des demandes et insatisfactions des clients;;;;;;;;"- Dispositif de collecte écoute spontanée: registre de suggestion, boîtes à suggestion, portail orange, centre d'appel, remontées des agents, réclamations (physiques, orales, mails) 
- exploitation des données clients : rapports comité service client mensuels
- Déclinaison des PA sur les réclamations par les structures concernées
 - Barometre unique mensuel (NPS) et  semestriel (BU) avec proposition de PA
 - Existence d'une adresse remontées réseau OGN et suivi avec la Technique";Preventif;Manuelle;1;2;1;2;1;;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Déployer les normes et piloter l’amélioration continue;Déployer les normes et piloter l’amélioration continue;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Management Integré(DMI);Elaborer et déployer la politique QSE ;Risque de non-conformité du système QSE;Déploiement inadéquat de la politique QSE;;;;;;;;Communication: séances de formation et de sensibilisation, Flash QSE diffusé via la Com interne et journal, Qualitoo (campagnes de sensibilisation en régions….);Preventif;Manuelle;1;3;2;;3;3;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Déployer les normes et piloter l’amélioration continue;Déployer les normes et piloter l’amélioration continue;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Management Integré(DMI);Elaborer et déployer la politique QSE ;Risque de non-conformité du système QSE;Déploiement inadéquat de la politique Qualité;;;;;;;;"Pilotage de la performance : 
- outils de pilotage : tableau de bord QSE 
- cadres de pilotage revues de processus et revues de Directions
- audit interne  QSE ";Detectif;Manuelle;1;3;2;;3;3;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Déployer les normes et piloter l’amélioration continue;Déployer les normes et piloter l’amélioration continue;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Management Integré(DMI);Gérer la documentation QSE;Risque de non-conformité du système QSE;Instabilité organisationnelle ;;;;;;;;DMI informée des réorganisations via la Com interne  et mise en place du chantier de  documumentation . ;Preventif;Manuelle;1;3;2;;3;3;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Déployer les normes et piloter l’amélioration continue;Déployer les normes et piloter l’amélioration continue;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Management Integré(DMI);Gérer la documentation QSE;Risque de non-conformité du système QSE;Non maitrise des compétences du réseau QSE;;;;;;;;Formations et sensibilisation du réseau qualité;Preventif;Manuelle;1;3;2;;3;3;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Déployer les normes et piloter l’amélioration continue;Déployer les normes et piloter l’amélioration continue;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Management Integré(DMI);Gérer la documentation QSE;Risque de non-conformité du système QSE;Changement de dispositifs  internes des directions sans en informer DMI;;;;;;;;"Sollicitation de DMI par les Directions pour la mise à jour de la documentation en cas de réorganisation
Management sensibilisé à remonter à DMI les changements de dispositifs internes pouvant impacter la documentation";Preventif;Manuelle;1;3;2;;3;3;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Déployer les normes et piloter l’amélioration continue;Déployer les normes et piloter l’amélioration continue;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Management Integré(DMI);Gérer la documentation QSE;Risque de non intégrité et de non fiabilité des données ;Vol, perte ou bug des ordinateurs  à la DMI ;;;;;;;;"Existence d'un sharepoint DRSI
Mise en place de Bitlocker";Preventif;Manuelle;1;2;;2;2;2;;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Déployer les normes et piloter l’amélioration continue;Déployer les normes et piloter l’amélioration continue;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Management Integré(DMI);Conduire une mission d' audit qualité;Risque d'audit (non contrôle, non détection);Connaissance insuffisante des activités à auditer;;;;;;;;" - Phase de prise de connaissance avant démarrage de la mission
 - Prise en comptes des profils lors de la composition de l'equipe d'audit .
 - Pilotage des missions par les acteurs de DMI";Preventif;Manuelle;2;2;3;2;1;1;2;;2;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Déployer les normes et piloter l’amélioration continue;Déployer les normes et piloter l’amélioration continue;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Management Integré(DMI);Conduire une mission d' audit qualité;Risque d'audit (non contrôle, non détection);Mauvaise priorisation des activités ;;;;;;;;Balayage des  processus en fonction des risques .;Preventif;Manuelle;2;2;3;2;1;1;2;;2;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Risques Contrôle Interne Fraude Revenue Assurance(DFRARCI);Piloter la mise en place des mécanismes de détection et de lutte contre la fraude;Risque d'audit (non contrôle, non détection);Mauvaise ou Non analyse des alertes de fraude;;;;;;;;"Programme de Formation pour les analystes Fraude 
Echanges avec le Groupe sur les contrôles FRA";Preventif;Manuelle;1;2;3;;2;;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Déployer les normes et piloter l’amélioration continue;Déployer les normes et piloter l’amélioration continue;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Management Integré(DMI);Assurer la veille normative;Risque de veille inefficace;Défaut d'obtention ou de traitement des évolutions normatives;;;;;;;;"Partage des informations sur les evolutions normatives en interne  par  les seances de sensibilisation .
 Web con call periodique avec afnor sur l'evolution des normes 
";Preventif;Manuelle;1;3;2;2;3;;3;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Déployer les normes et piloter l’amélioration continue;Déployer les normes et piloter l’amélioration continue;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Management Integré(DMI);Assurer la veille normative;Risque de non-conformité du système QSE;Référentiels d'audit QSE inappropriés;;;;;;;;Mise en place d'une procedure d'audit interne QSE qui prend en compte le referentiel d'audit ;Preventif;Manuelle;1;3;2;;3;3;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Déployer les normes et piloter l’amélioration continue;Déployer les normes et piloter l’amélioration continue;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Management Integré(DMI);Assurer la veille normative;Risque de veille inefficace;Référentiels d'audit qualité obsolète ;;;;;;;;"- Veille normative, sur les bonnes pratiques et les outils 
Accès à L'interface de documentation  goupe  sonatel 
";Preventif;Manuelle;1;3;2;2;3;;3;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Déployer les normes et piloter l’amélioration continue;Déployer les normes et piloter l’amélioration continue;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Management Integré(DMI);Conduire une mission d' audit qualité;Risque d'audit (non contrôle, non détection);Mauvaise estimation du temps de réalisation des missions;;;;;;;;"Mise en place d'un planning d'audit qualité 
accompagnement des auditeurs au besoin";Preventif;Manuelle;1;2;3;2;1;1;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Déployer les normes et piloter l’amélioration continue;Déployer les normes et piloter l’amélioration continue;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Management Integré(DMI);Conduire une mission d' audit qualité;Risque d'audit (non contrôle, non détection);Indisponibilité des auditeurs internes  qualité;;;;;;;;" - Planning SMI validé et diffusé 
 - Nombre suffisant d'auditeurs qualité (au moins un auditeur par direction)
- ciblage du perimètre d'audit ";Preventif;Manuelle;1;2;3;2;1;1;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Déployer les normes et piloter l’amélioration continue;Déployer les normes et piloter l’amélioration continue;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Management Integré(DMI);Conduire une mission d' audit qualité;Risque d'audit (non contrôle, non détection);Manque d’intérêt des audités;;;;;;;;Existence de réunion d'ouverture  des missions permettant d'informer sur l'apport de l'audit qualité;Preventif;Manuelle;1;2;3;2;1;1;2;;3;;;;;;;;;;;;;
